status,to_email,restaurant,est_upside,subject,body
ready,commelfo.restaurant@gmail.com,Commelfo Restaurant,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Commelfo Restaurant's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Commelfo Restaurant? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Whataburger,0,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Whataburger's menu:


It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Whataburger? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,dawson@dawsongroupseasidefl.com,Stinky's Fish Camp,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Stinky's Fish Camp's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Stinky's Fish Camp? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Harbor Docks,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Harbor Docks's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Harbor Docks? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Donut Hole,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Donut Hole's menu:

• As a $ spot, your pricing likely trails the 30A median for your tier.
  30A $ entrées run ~$13 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Donut Hole? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,The Pancakery of Destin,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on The Pancakery of Destin's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for The Pancakery of Destin? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,mgrlldest@srgcorp.net,Louisiana Lagniappe,12000,"found ~$12,000/yr in Louisiana Lagniappe's menu (from a 30A neighbor)","Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Louisiana Lagniappe's menu:

• Your priciest plate is 7 photos at $16 — adding one showpiece around $23 makes dishes like it feel like the smart pick.  (~$6,000/yr)
• Mains like 1 photo ($13), 2 photos ($13) keep your average entrée at $13 — under the 30A $$$ median (~$32); there's room to nudge them up.

Conservatively that's about $12,000/yr you're leaving on the table — and that's just the two items that jumped out first.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Louisiana Lagniappe? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Mimmo's Destin Ristorante Italiano,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Mimmo's Destin Ristorante Italiano's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Mimmo's Destin Ristorante Italiano? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Donut Hole,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Donut Hole's menu:

• As a $ spot, your pricing likely trails the 30A median for your tier.
  30A $ entrées run ~$13 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Donut Hole? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Another Broken Egg Cafe,6000,"found ~$6,000/yr in Another Broken Egg Cafe's menu (from a 30A neighbor)","Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Another Broken Egg Cafe's menu:

• Your priciest plate is Cheddar and ham-filled potato hash, poached eggs, sauted lobster, truffle-roaste at $21 — adding one showpiece around $31 makes dishes like it feel like the smart pick.  (~$6,000/yr)
• Your entrées are bunched from Belgian waffle topped with fresh blueberries, strawberries and powdered sugar, s ($19) to Cheddar and ham-filled potato hash, poached eggs, sauted lobster, truffle-roaste ($21) — widen that range to capture both budget and premium tables.

Conservatively that's about $6,000/yr you're leaving on the table — and that's just the two items that jumped out first.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Another Broken Egg Cafe? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,info@shades30a.com,Shades Bar & Grill,12000,"found ~$12,000/yr in Shades Bar & Grill's menu (from a 30A neighbor)","Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Shades Bar & Grill's menu:

• “We popped in to have appetizers and we were pleasantly surprised! We had chicke ($25) are priced on the dollar — charm-pricing these (e.g. “We popped in to have appetizers and we were pleasantly surprised! We had chicke $25 → $24.95) reads cheaper and lifts orders.  (~$6,000/yr)
• Your priciest plate is “We popped in to have appetizers and we were pleasantly surprised! We had chicke at $25 — adding one showpiece around $38 makes dishes like it feel like the smart pick.

Conservatively that's about $12,000/yr you're leaving on the table — and that's just the two items that jumped out first.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Shades Bar & Grill? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,music@chefjimshirley.com,Great Southern Cafe,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Great Southern Cafe's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Great Southern Cafe? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Acme Oyster House,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Acme Oyster House's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Acme Oyster House? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Mezcal Mexican Grill,10000,"found ~$10,000/yr in Mezcal Mexican Grill's menu (from a 30A neighbor)","Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Mezcal Mexican Grill's menu:

• 1 review ($70), Fire-Grilled Certified Angus Beef @ steak, topped with 3 bacon wrapped shrimp ga ($36), 4 photos ($32) and 36 others are priced on the dollar — charm-pricing these (e.g. 1 review $70 → $69.95) reads cheaper and lifts orders.  (~$6,000/yr)
• House made cheese dip at $10 is 51% below your ~$20 entrée average — test $11.

Conservatively that's about $10,000/yr you're leaving on the table — and that's just the two items that jumped out first.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Mezcal Mexican Grill? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,buffalojacks01@gmail.com,Buffalo Jack's Legendary Wings & Pizza,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Buffalo Jack's Legendary Wings & Pizza's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Buffalo Jack's Legendary Wings & Pizza? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
