tier,segment,segment_name,market_role,market_metro,name,city,state,rating,reviews,relevance_score,status,website,phone,address,editorial_summary,google_primary_type,query_angle,company_id
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,birmingham,Breakout Games,Homewood,AL,4.9,3314,70,prospect,https://www.breakoutgames.com/birmingham?utm_source=google&utm_medium=organic&utm_campaign=gmb-birmingham,(205) 282-4798,"2717 19th Pl S, Homewood, AL 35209, USA",,,,cf38ad64-172a-45fa-99aa-2007d13367fc
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,InterContinental Buckhead Atlanta by IHG,Atlanta,GA,4.4,3125,70,prospect,https://www.ihg.com/intercontinental/hotels/us/en/atlanta/atlbh/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-US-_-ATLBH,(404) 946-9000,"3315 Peachtree Rd NE, Atlanta, GA 30326, USA",,,,c394f76b-cd51-4e73-885c-16cb194dcb42
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Crawl New Orleans,New Orleans,LA,5,2518,70,prospect,https://crawlneworleans.com/,(504) 338-5390,"1130 Decatur St Suite C, New Orleans, LA 70116, USA",,,,2bc5dc50-591e-4133-b2f9-ed5f344df7cd
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Big Drag Bus (Nashville Party Bus),Nashville,TN,5,2197,70,prospect,https://www.bigdragbus.com/,(629) 333-2525,"1517 Church St, Nashville, TN 37203, USA",,,,38e22692-61b3-464c-925a-47dae317ae24
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Red Phone Booth,Atlanta,GA,4.9,1788,70,prospect,https://www.redphonebooth.com/locations/ga/buckhead?utm_source=google&utm_medium=organic&utm_campaign=gbp-buckhead&utm_content=website_link,(470) 348-5767,"3242 Peachtree Rd, Atlanta, GA 30305, USA",,,,8cf38b94-7844-4bdd-baa8-6d8376bb5edb
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,A Little Local Flavor - Nashville Food Tours,Nashville,TN,5,1597,70,prospect,https://www.alittlelocalflavor.com/,(615) 815-1388,"309 Church St #505, Nashville, TN 37201, USA",,,,35d7a177-415f-419e-8423-260dfe832e32
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Unique NOLA Tours,New Orleans,LA,5,1412,70,prospect,https://uniquenola.com/,(504) 777-7769,"815 Toulouse St, New Orleans, LA 70112, USA",,,,e4b3fffa-e533-4ecc-aaeb-47346fa5628f
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,dallas,Dallas Party Bike,Dallas,TX,5,1381,70,prospect,https://www.dallaspartybike.com/,(214) 414-3891,"3909 Elm St, Dallas, TX 75226, USA",,,,53c2c620-6cca-4696-bbb1-fc38595e9787
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,VIP City Tours,New Orleans,LA,4.9,1380,70,prospect,http://www.vipcitytours.com/,(504) 329-2489,"839 Chartres St, New Orleans, LA 70116, USA",,,,ae8de21f-3456-4e86-8135-5f662ede8d67
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,New Orleans Kayak Swamp Tours,New Orleans,LA,4.9,1363,70,prospect,http://www.neworleanskayakswamptours.com/,(504) 571-9975,"740 N Rampart St, New Orleans, LA 70116, USA",,,,f7d27c4e-891b-4b8b-801b-7eca7f40ffb2
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Rowdy Bus Tours,Nashville,TN,4.9,1215,70,prospect,https://rowdybus.com/?utm_source=google&utm_medium=organic&utm_campaign=GBP,(615) 212-8869,"1343 Lewis St, Nashville, TN 37210, USA",,,,9d8172c1-468d-467c-b928-bb82272b9ae5
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Upstage Party Bus,Nashville,TN,4.9,1178,70,prospect,https://www.upstagepartybus.com/,(615) 801-4155,"833 Hawkins St, Nashville, TN 37210, USA",,,,5187f6d6-6d48-459e-a37a-fc3033a11be7
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Unexpected Atlanta Tours and Gifts,Atlanta,GA,5,1093,70,prospect,https://unexpectedatlanta.com/,(470) 223-2203,"235 Peachtree Rd NE Suite 400, Atlanta, GA 30303, USA",,,,d64ef960-b8f1-4bcb-899f-9ece4385a5df
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,New Orleans Legendary Walking Tours,New Orleans,LA,4.8,973,70,prospect,https://www.neworleanslegendarywalkingtours.com/,(504) 503-0199,"941 Decatur St, New Orleans, LA 70116, USA",,,,f86fcd9f-dcd8-46a8-a841-92dc4fad53ab
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,"Nashville Tours - Ghost Tours, Speakeasy Tours, and Bus Tours",Nashville,TN,5,972,70,prospect,https://gonashvilletours.com/,(615) 673-4235,"604 Dr. M.L.K. Jr Blvd, Nashville, TN 37219, USA",,,,c3fd02d6-7ec4-4c00-94e4-abc88c3308ad
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Houston Party Barge,Seabrook,TX,4.9,956,70,prospect,https://www.houstonpedalbarge.com/,(832) 974-0365,"2511 E NASA Pkwy #101, Seabrook, TX 77586, USA",,,,3b87ae70-6c5a-4451-ad9c-efca609b41f8
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Mint Julep Experiences - Nashville,Nashville,TN,5,923,70,prospect,https://mintjuleptours.com/nashville?utm_source=google&utm_medium=organic&utm_campaign=GMB2026_Nash,(615) 436-0187,"308 Rep. John Lewis Way S, Nashville, TN 37203, USA",,,,d01cb0b9-d48d-48c9-b53f-e4eb77c34931
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Hunk-O-Mania Entertainment LLC,Atlanta,GA,4.9,847,70,prospect,https://hunkomanianyc.com/atlanta-male-strip-club.html,(678) 528-8511,"2847 Buford Hwy NE, Atlanta, GA 30329, USA",,,,20f0916d-465e-40ea-bdce-91be5bc6e02c
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,ATL-Cruzers Electric Car and Segway Tours,Atlanta,GA,4.9,798,70,prospect,http://www.atlcruzers.com/,(404) 492-7009,"160 Ted Turner Dr NW, Atlanta, GA 30303, USA",,,,2be57918-701c-4134-9f38-504449d4e6a0
1,bachelorette-planner,Bachelorette Party Planners & Concierges,local,30a,30A Beach Girls,Panama City Beach,FL,4.9,760,80,prospect,http://30a-beachgirls.com/,(850) 849-1323,"17747 Ashley Dr Unit A, Panama City Beach, FL 32413, USA",,,,77649c0e-a346-4af8-b13c-f72f7602a313
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,birmingham,Fairytale Journeys Travel,Jackson's Gap,AL,5,757,70,prospect,https://fairytalejourneys.com/,(888) 500-1218,"141 Oaks Point, Jackson's Gap, AL 36861, USA",,,,db1433d4-f26a-490d-ba20-a1fea426afd9
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Two Chicks Walking Tours,New Orleans,LA,5,707,70,prospect,https://www.twochickswalkingtours.com/?utm_source=gmb,(504) 975-4386,"1128 Josephine St, New Orleans, LA 70130, USA",,,,1c349aa6-d6f2-4490-badb-6ef11c212f0f
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,New Orleans Secrets Tours,New Orleans,LA,4.9,698,70,prospect,http://www.nosecretstours.com/?utm_%20source=GMBlisting&utm_medium=organic,(504) 517-5397,"717 Toulouse St, New Orleans, LA 70130, USA",,,,6c1d8cac-023e-4731-9083-d26791e14990
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Nola Tour Guy,New Orleans,LA,4.9,621,70,prospect,http://www.nolatourguy.com/,(504) 300-9489,"2454 N Galvez St, New Orleans, LA 70117, USA",,,,613496b9-3aa0-4d06-8a8b-5ead989810b7
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,"The Dinner Detective True Crime Murder Mystery Dinner Show - Atlanta, GA",Atlanta,GA,4.7,607,70,prospect,https://www.thedinnerdetective.com/atlanta/schedule/,(866) 496-0535,"6345 Powers Ferry Rd NW NE, Atlanta, GA 30339, USA",,,,867a52b3-af80-4db6-b76c-85bae379d261
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Travel Central,Metairie,LA,4.9,533,70,prospect,http://www.travelcentralvacations.com/?utm_campaign=gmb&utm_medium=maps&utm_source=google&utm_term=gmb,(504) 834-7000,"3017 12th Street @, Ridgelake Dr, Metairie, LA 70002, USA",,,,69380a57-5e46-42aa-aad5-c58a1b212a14
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,dallas,Pedal Pub Dallas,Dallas,TX,5,518,70,prospect,https://www.pedalpub.com/dallas-tx/,(972) 850-0484,"2633 McKinney Ave Suite 130-175, Dallas, TX 75204, USA",,,,36108929-c1e6-44ae-846b-e5c44b922cd2
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Treme Luxury Experience Tours,New Orleans,LA,5,488,70,prospect,http://www.tremeluxuryexperience.com/,(504) 512-6085,"701 N Rampart St, New Orleans, LA 70116, USA",,,,43eac5d4-92f5-43f8-b6bc-bfddc1b65a3d
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Modern Travelworks | Modern Destination Weddings,Houston,TX,4.9,433,70,prospect,https://modern.travel/,(832) 369-2828,"1011 Hwy 6, Houston, TX 77077, USA",,,,8601f131-3f72-42f0-bc27-12c3b506e198
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Nashville Party Barge,Nashville,TN,4.9,427,70,prospect,http://www.nashvillepartybarge.com/,(615) 422-7077,"1343 Lewis St, Nashville, TN 37210, USA",,,,133b582f-05b3-418d-aaa1-615b20178662
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Pop the Cork Wine Tours,Atlanta,GA,4.9,415,70,prospect,http://www.popthecorkwinetours.com/,(404) 433-2956,"1100 Peachtree St NE, Atlanta, GA 30309, USA",,,,d961fdc1-64a1-4a76-8c70-847f532a5391
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Ranch Hands Cowboylesque,Nashville,TN,4.9,404,70,prospect,https://www.ranchhandscowboylesque.com/,(615) 649-9555,"500 Cowan St, Nashville, TN 37207, USA",,,,a38bc8a1-5d16-4d14-97fc-aab0d2b0f868
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Imagine Going There Travel,Marietta,GA,5,402,70,prospect,http://www.imaginegoingthere.com/,(770) 421-9627,"3600 Dallas Hwy suite 230-215, Marietta, GA 30064, USA",,,,5978c69e-d991-4ba3-bd64-e4a6d2d6f9ce
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,birmingham,Wishes Travel,Birmingham,AL,5,301,70,prospect,https://www.wishestravel.com/,(205) 201-9503,"8255 Castlehill Rd, Birmingham, AL 35242, USA",,,,2a2d2e68-9208-42e0-8279-964e9cd629f0
1,bachelorette-planner,Bachelorette Party Planners & Concierges,local,30a,Destin Wedding Company,Destin,FL,4.7,298,80,prospect,http://www.destinweddingcompany.com/,(850) 502-0085,"160 Azalea Dr, Destin, FL 32541, USA",,,,63ed5127-322e-4305-af77-c5d19791e010
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Tours By Isabelle,New Orleans,LA,5,295,70,prospect,http://www.toursbyisabelle.com/,(504) 398-0365,"12601 River Rd, New Orleans, LA 70131, USA",,,,b87707d6-f962-4e6a-97d9-129a63641714
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Fur Bus,Marietta,GA,5,292,70,prospect,http://furbus.com/,(404) 467-7773,"839 Pickens Industrial Dr N E, Marietta, GA 30062, USA",,,,60f898ba-1d6b-4aef-9cde-395b83cbd796
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Party Bus Lounge,Houston,TX,4.5,291,70,prospect,https://www.partybuslounge.com/,(713) 322-8998,"5718 Westheimer Rd, Houston, TX 77057, USA",,,,0d050f33-1c44-4aff-8555-eb8747af34e3
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,The Dirty Tea,Atlanta,GA,4.4,289,70,prospect,https://thedirtytea.com/,(404) 748-9736,"1056 St Charles Ave NE, Atlanta, GA 30306, USA",,,,4bf59534-75de-44f7-b7f1-bd0dc99f0d6a
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,New Orleans Party Boats,New Orleans,LA,5,285,70,prospect,,(504) 264-6046,"2360 N Villere St, New Orleans, LA 70117, USA",,,,59e69669-121c-40c3-8da0-778d65383b1a
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,A Pair of Ears Travel,Thibodaux,LA,5,281,70,prospect,https://www.apairofearstravel.com/,(985) 859-8583,"313 College Ln, Thibodaux, LA 70301, USA",,,,9be865b2-483f-4c69-9912-0f2f1f5f50fc
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Adventures in New Orleans,New Orleans,LA,4.2,250,70,prospect,http://www.neworleansadventuretours.com/,(504) 523-9745,"414 Canal St, New Orleans, LA 70130, USA",,,,59241942-8da0-497e-b84e-a1308e9ceef5
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,All Bout Dat Tours LLC,New Orleans,LA,5,232,70,prospect,http://www.allboutdat.com/,(504) 457-9439,"2523 Bayou Rd, New Orleans, LA 70119, USA",,,,7944492e-04b1-42fa-bfad-2a6d26b585ec
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Hip Hop Tours of Atlanta,Atlanta,GA,5,229,70,prospect,https://www.hiphoptoursofatlanta.com/book-online,(678) 896-5663,"1197 Peachtree St NE, Atlanta, GA 30361, USA",,,,91e4992b-a52a-4311-a34a-bb41fa3469cb
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Deco Art Event Planners,Houston,TX,4.9,228,70,prospect,http://facebook.com/decoarteventplanners.,(281) 827-4420,"6666 Harwin Dr. Suite 650, Houston, TX 77036, USA",,,,1e408b41-5283-44f2-8ee8-0f0b11554ed5
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,birmingham,Birmingham Tree House,Birmingham,AL,5,226,70,prospect,https://www.birminghamtreehouse.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18047351135545330264,(205) 902-1120,"1309 19th St S, Birmingham, AL 35205, USA",,,,039e855e-642c-424f-bcea-41e1850e2a4c
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,birmingham,Creative Entertainment,Birmingham,AL,5,224,70,prospect,http://cebham.com/,(205) 754-9430,"1601 5th Ave N Suite 108, Birmingham, AL 35203, USA",,,,faae64bf-6f98-4173-ae46-56d70ad4454d
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Nashville Private Tours,Nashville,TN,5,220,70,prospect,https://www.nashvilleprivatetour.com/,(615) 364-2259,"901 Shauna Dr, Nashville, TN 37214, USA",,,,ff00af1c-70dc-4507-add2-4c036904879d
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,(Stripper Delivery) MC Entertainment & Services LLC,Decatur,GA,4.9,211,70,prospect,http://www.mcentertainment.org/,(678) 768-3611,"1999 Barberrie Ln, Decatur, GA 30032, USA",,,,40a923f8-99ea-42b5-a451-8fd2ae7ec3e1
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,I’ll Drink To That! - Houston Mobile Bar,Humble,TX,4.9,202,70,prospect,https://www.illdrinktothat.net/,(832) 373-6486,"16834 Lantana Valley Pl, Humble, TX 77346, USA",,,,29d8d6a9-cd14-4a7e-9e9d-935890360e0e
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,dallas,Mom Approved Travel,,TX,4.8,191,70,prospect,https://www.momapprovedtravel.com/,(281) 744-5538,"20419 Stone Falls Ct, Cypress, TX 77433, USA",,,,8df25f46-826b-4fe0-bc43-4a7c602f07fc
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,dallas,Rambling Roadster Party Bus,Dallas,TX,4.9,187,70,prospect,http://www.ramblingroadster.com/,(214) 235-4780,"2019 Allen St, Dallas, TX 75204, USA",,,,e63021e5-1a92-45c9-84dc-722e264a73d7
1,bachelorette-planner,Bachelorette Party Planners & Concierges,local,30a,Crystal Beach Weddings,Miramar Beach,FL,4.7,180,80,prospect,http://www.crystalbeachweddings.com/,(850) 520-0000,"136 S Holiday Rd, Miramar Beach, FL 32550, USA",,,,decee298-0dff-442f-a44b-4c75ed85b0a2
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Premier Private Rides,Atlanta,GA,5,178,70,prospect,https://premierprivaterides.com/,(678) 496-7532,"552 Ponce De Leon Ave NE STE B, Atlanta, GA 30308, USA",,,,2178d667-b906-4731-b9bb-83d62cec1d18
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Enchanting Engagements Houston,Houston,TX,5,175,70,prospect,https://enchantingengagements.co/houston-marriage-proposal-packages/,(929) 538-5255,"7017 Almeda Rd, Houston, TX 77054, USA",,,,76566fa7-80f0-4832-8531-ce2b2cc7a7f7
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Trixie Minx Productions and Trixie's Burlesque Boutique,New Orleans,LA,5,174,70,prospect,https://www.trixieminx.com/,(504) 975-1245,"834 Chartres St, New Orleans, LA 70117, USA",,,,a31c16eb-c748-420e-80c2-485e70f245b6
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,birmingham,Birmingham Pedal Tours,Birmingham,AL,4.8,172,70,prospect,http://www.birminghampedaltours.com/,(205) 304-8687,"2201 2nd Ave S #106, Birmingham, AL 35233, USA",,,,540fb639-169d-40a6-a7f5-b4c1aebdc065
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Events & Adventures Houston,Houston,TX,3.8,170,70,prospect,http://eventsandadventures.com/,(800) 386-0866,"8588 Katy Fwy #104, Houston, TX 77024, USA",,,,ac75eda6-b8fe-429e-ad23-f042e174ad52
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,New Orleans Native Tours llc,New Orleans,LA,4.9,168,70,prospect,https://www.neworleansnativetours.com/,(855) 968-8687,"839 Chartres St, New Orleans, LA 70116, USA",,,,5ac145d0-2acf-401c-bb81-62a19dff09f5
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,dallas,Events & Adventures Dallas,Dallas,TX,3.6,162,70,prospect,http://www.eventsandadventures.com/,(800) 386-0866,"15400 Knoll Trail Dr #111, Dallas, TX 75248, USA",,,,77fbf08f-2671-4c05-83ce-c565bec0fadf
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Access Houston,Houston,TX,4.8,162,70,prospect,http://accesshtx.net/,(346) 744-7373,"1770 Saint James Place, Houston, TX 77056, USA",,,,d4b359c5-3a00-4368-ba86-d67779f7f8f9
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Soul of NOLA Private Tours of New Orleans,New Orleans,LA,5,160,70,prospect,http://www.neworleansprivatetours.net/,(504) 905-4999,"3210 St Peter St, New Orleans, LA 70119, USA",,,,8e5c490e-f53d-4e39-bb25-5feb1c4e30f7
1,bachelorette-planner,Bachelorette Party Planners & Concierges,local,30a,We Own South Beach Concierge,Miami Beach,FL,5,159,80,prospect,http://weownsouthbeach.com/,(954) 394-9299,"529 W 41st St #444, Miami Beach, FL 33140, USA",,,,9039a986-2fa5-4e0e-b349-7e8f83a493d4
1,bachelorette-planner,Bachelorette Party Planners & Concierges,local,30a,Rosemary Beach®,Alys Beach,FL,3.9,158,80,prospect,https://www.rosemarybeach.com/,(866) 348-8952,"78 N Barrett Square APT B, Alys Beach, FL 32461, USA",,,,b32a4820-feb7-4a96-aab8-b1d4ad5b5c68
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Trendy Fun Party,Atlanta,GA,5,156,70,prospect,http://trendyfunparty.com/,(404) 432-2198,"2255 Cumberland Pkwy SE Building 1600,Suite#200, Atlanta, GA 30339, USA",,,,28bdf31f-ad92-451e-988d-63df3f1d9aa6
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Southern Events Party Rental Company,Franklin,TN,4.9,150,70,prospect,https://www.southerneventsonline.com/,(615) 595-8508,"101 Alpha Dr, Franklin, TN 37064, USA",,,,294bd357-9804-4291-9bd0-998753d24ee1
1,bachelorette-planner,Bachelorette Party Planners & Concierges,local,30a,SunQuest Cruises SOLARIS Yacht | Destin Florida Wedding Venue,Miramar Beach,FL,4.3,149,80,prospect,http://www.sunquestcruises.com/,(850) 650-2519,"9300 US-98, Miramar Beach, FL 32550, USA",,,,a4347647-5fb1-4912-8e7d-647e29d38447
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,birmingham,Pinspiration Birmingham,Birmingham,AL,4.9,143,70,prospect,https://www.pinspiration.com/locations/birmingham/,(205) 874-6193,"201 Cahaba Park Cir #500/600, Birmingham, AL 35242, USA",,,,41983e71-b192-49b1-8cbd-52852f87fedc
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,"You Can Fly Travels, LLC",Gallatin,TN,5,141,70,prospect,http://www.youcanflytravels.com/,(877) 968-3598,"Gallatin, TN 37066, USA",,,,1b5eb490-c3bf-4c14-8e8e-8e97243f1b96
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,River Oaks Travel Agency,Houston,TX,4.9,138,70,prospect,https://riveroakstravelagency.com/,(713) 665-4767,"2415 W Alabama St Suite 203, Houston, TX 77098, USA",,,,ecf6d3f5-13c5-45a4-bb69-4459a1348ae5
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,dallas,"LET SPARKS FLY, LLC",DeSoto,TX,4.8,136,70,prospect,https://www.letsparksfly.net/,(866) 512-2019,"1301 E Parkerville Rd Ste A8 # 1045, DeSoto, TX 75115, USA",,,,20cf120a-eac5-498c-844b-1b225d7ec550
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Cool Bus Houston,Houston,TX,4.9,135,70,prospect,https://coolbushouston.com/,(713) 805-2690,"10102 Moorberry Ln, Houston, TX 77080, USA",,,,84ca4ceb-1109-4f05-a33e-0a2943890fad
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,House Of BASH,Alpharetta,GA,4.8,132,70,prospect,https://houseofbash.net/,(678) 910-3166,"1815 Hembree Rd #410, Alpharetta, GA 30009, USA",,,,c9bd45fe-d17d-4a34-b871-3a8bbc1e154f
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,NOLA Tours,New Orleans,LA,4.9,130,70,prospect,https://nolatours.com/,(504) 355-1213,"2727 Prytania St, New Orleans, LA 70130, USA",,,,12a8f493-d0e2-4a70-a64d-0d0cb523a7be
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Bussing Loose Karaoke Party Bus,Atlanta,GA,5,126,70,prospect,http://bussingloose.com/,(404) 740-7999,"1700 Northside Dr NW Suite A7 PMB 2546, Atlanta, GA 30318, USA",,,,d1de6bdf-beac-470e-a846-a05e04541d23
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Tasty Tour,Nashville,TN,5,125,70,prospect,http://trytastytour.com/,(615) 336-6678,"do not meet here, 5049 Trousdale Dr, Nashville, TN 37220, USA",,,,24329cd0-8bdd-4f38-95a5-d9dd52bebd80
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Blue Pineapple Travel,Marietta,GA,5,123,70,prospect,https://bluepineappletravel.com/,,"74 Black St, Marietta, GA 30060, USA",,,,8e22dffe-546e-4147-aa6a-bdcfe4ce3e3b
1,bachelorette-planner,Bachelorette Party Planners & Concierges,local,30a,Seashell Wedding Company,Destin,FL,4.7,117,80,prospect,https://seashellweddingco.com/,(850) 276-2802,"856 Harbor Blvd, Destin, FL 32541, USA",,,,c0c65b0d-b2b5-4358-817b-b658b87d123d
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,dallas,Vincent Vacations,Dallas,TX,4.9,117,70,prospect,https://www.vincentvacations.com/travel-agency-dallas,(214) 997-4480,"1341 W Mockingbird Ln Suit 600W, Dallas, TX 75247, USA",,,,6eb340d2-c099-43d6-b6d5-ec57c3f27d51
